"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2004,8,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69.4443333333333,20.061325734413
2004,8,282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.611,21.4863965025936
2004,8,283,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,71.611,12.7049062176783
2004,8,286,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,169.777666666667,28.7949161755258
2004,8,287,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,76.2776666666667,19.0126764087075
2004,8,290,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,175.444333333333,60.1826064868875
2004,8,291,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95.8886666666667,11.5473747762088
2004,8,292,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,407.055666666667,16.030350075889
2004,8,300,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,414.778,74.8629724363119
2004,8,303,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,373.166666666667,21.1666202991618
2004,8,304,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105.222,27.9764658597186
2004,8,308,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92.389,40.5355067646461
2004,8,311,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,143.611,31.6161558173455
2004,8,324,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,60.3333333333333,7.92069956225809
2004,8,325,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,165.833333333333,7.31207778648146
2004,8,330,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,129.611,25.8033182878998
2004,8,333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.2776666666667,7.40554681003068
2004,8,334,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,49.4443333333333,9.67071818544115
2004,8,335,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,70.222,9.82459373205834
2004,8,338,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,184.111,35.1769286417485
2004,8,342,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,394.666333333333,77.4342014587582
