Plot,Achmi,Agrsm,Amocan,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Schsc,Sornu,06.2001,08.2001,08.2002,07.2003,07.2004,07.2005,07.2006,08.2007,08.2009,08.2010,08.2011
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71.1006666666667,105.272,103.883333333333,76.722,73.0556666666667,68.2723333333333,52.0833333333333,39.8,62.365,43.95,127.45
165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,84.4333333333333,81.072,134.377666666667,115.222,65.3333333333333,95.0556666666667,73.339,65.65,84.91,104.25,105.38
167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98.2886666666667,162.499666666667,160.555333333333,225.666666666667,226.611333333333,112.655666666667,85.8613333333333,281.52,133.135,165.97,70.82
168,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,91.6946666666667,112.905666666667,198,136,165.833,87.5,78.6333333333333,63.05,102.7175,121.82,224.82
171,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,310.583666666667,235.6,226.555666666667,193.611,486.389,127.144666666667,160.977666666667,143.68,232.2675,257.23,169.5
175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,300.116333333333,376.983333333333,417.116666666667,352.85,378.055333333333,233.139,187.877666666667,231.23,244.29,233.97,388.87
176,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,169.689,221.322333333333,194.066666666667,138.272,194.889,212.983333333333,147.527666666667,136.18,184.1,136.87,94.83
178,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,167.455666666667,286.472333333333,279.389,286.466333333333,253.055666666667,288.761,221.755666666667,250.65,166.6575,237.67,249.02
185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.4443333333333,166.922333333333,183.555333333333,132.944333333333,101.278,64.339,67.238,59.05,132.86,196.47,134.83
193,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,290.239,330.005666666667,603.333333333333,446.5,524.333333333333,433.322333333333,279.794333333333,210.43,185.0475,296.87,335.37
197,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,110.344333333333,152.444666666667,164.255666666667,129.5,123.555666666667,179.633333333333,128.836333333333,154.05,106.185,110.83,197.82
202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,430.866333333333,529.794666666667,621.666666666667,494.889,457.333333333333,460.077666666667,283.094333333333,371.72,361.2,282.5,547.45
205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,133.190666666667,204.911,103.566666666667,163.167,130.722333333333,127.233666666667,83.7166666666667,64.4,111.6575,192.37,163.68
206,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,234.572333333333,373.455666666667,473.305666666667,473.611,453.277666666667,391.1,200.272,297.13,212.865,311.85,293.48
208,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,344.742333333333,298.389,548.889,537.777666666667,490.444333333333,446.177666666667,203.583,203.75,149.48,214.35,416.25
210,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,220.377666666667,313.711,556.999666666667,340.527666666667,377.333333333333,242.716666666667,221.005333333333,217.25,233.2,331.15,393.88
211,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,185.861,275.833666666667,296.166666666667,273.333333333333,255.055666666667,238.294333333333,193.461,92.2,96.2075,185.97,159.63
224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.4053333333333,134.366666666667,136.611,75.3886666666667,81.6666666666667,71.539,63.8276666666667,57.93,88.3,152.73,95.28
229,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,77.1613333333333,122.011,158.022333333333,82.4446666666667,103.444666666667,80.7,90.9056666666667,50.27,134.17,147.5,173.83
230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99.1776666666667,148.511333333333,132.055333333333,92.5,101.722333333333,140.361,114.244333333333,72.02,102.485,62.38,52.05
234,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,308.822,305.572333333333,357.777666666667,401.833333333333,418.555666666667,224.316666666667,165.822333333333,165.92,304.725,258.38,450.75
236,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,137.565666666667,280.761,329.5,297.166666666667,291.444333333333,302.522333333333,273.1,281.1,307.45,260.27,322.28
237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.9166666666667,70.261,102.889,61.2776666666667,66.0556666666667,36.35,42.6553333333333,45.88,41.2425,37.17,129.5
256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1503333333333,81.3276666666667,102.444666666667,86.389,47.1666666666667,49.95,33.8223333333333,27.92,NA,NA,NA
259,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,149.272333333333,186.277666666667,314.166666666667,208.444333333333,290.833333333333,232.472333333333,284.144333333333,284.07,311.0825,256.2,625.53
265,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,316.035666666667,131.816666666667,218,255.944333333333,151.777666666667,167.111,184.194333333333,166.25,378.135,209.77,93.87
267,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,114.538666666667,266.372333333333,233.444666666667,198.5,218.111,264.939,107.961,165.55,120.2825,239.18,317.62
268,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66.5556666666667,99.15,114.166666666667,74.3333333333333,87.7223333333333,99.889,67.661,42.335,93.99,117.95,40.07
278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,52.011,89.0886666666667,110.622333333333,62.5556666666667,51.7223333333333,43.6556666666667,34.7336666666667,48.72,58.6775,55.82,138.8
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45.95,87.139,155.666666666667,54.8666666666667,69.4443333333333,75.922,57.8553333333333,35.75,159.1925,63.55,69.8
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.728,83.8053333333333,103.333333333333,78.1666666666667,80.611,60.3,42.3276666666667,87.1,27.55,117.6,116.92
283,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,65.4113333333333,86.8943333333333,93.6666666666667,110,71.611,64.5,86.3946666666667,72.3,70.3675,84.02,127.08
286,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,104.405666666667,150.55,197.055666666667,143.778,169.777666666667,148.966666666667,108.461,262.88,263.11,392.8,342.33
287,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,71.3613333333333,86.6833333333333,120.333333333333,110.5,76.2776666666667,43.4333333333333,100.694333333333,78.27,90.66,155.52,267.47
290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.0333333333333,114.05,229.555666666667,434.444666666667,175.444333333333,95.7386666666667,128.116666666667,104.87,139.675,54.35,105.57
291,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74.9,127.694666666667,182.666666666667,164.500333333333,95.8886666666667,58.722,92.7556666666667,50,79.6925,149.17,112.2
292,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,334.45,402.061,460.944666666667,346.444666666667,407.055666666667,472.3,352.683333333333,257.13,382.7575,272.58,457.22
300,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,319.644333333333,338.372333333333,432.889,346.383333333333,414.778,307.966333333333,320.433333333333,192.22,212.325,251.05,369.47
303,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,385.344666666667,373,412.555666666667,452.227666666667,373.166666666667,286.578,292.227666666667,186.97,390.7,416.9,366.15
304,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51.8666666666667,126.233333333333,120.055666666667,123.666666666667,105.222,57.289,77.0556666666667,25.47,82.2325,146.27,119.5
308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.4666666666667,114.850333333333,136.889,113.222333333333,92.389,49.7333333333333,28.661,20.35,51.1575,55.23,121.43
311,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,94.2723333333333,163.161,242.5,152.111,143.611,147.838666666667,129.550333333333,81,126.36,125.12,136.6
324,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,42.0833333333333,112.577666666667,75.1663333333333,78.9446666666667,60.3333333333333,36.1946666666667,39.8166666666667,52.3,62.4325,94.87,77.63
325,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,119.172333333333,196.489,225.444333333333,208.889,165.833333333333,186.383333333333,128.205333333333,110.6,229.3525,243.07,359.45
330,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,85.4446666666667,94.2553333333333,139.222333333333,65.9446666666667,129.611,117.539,56.5333333333333,115.02,93.875,184.18,194.53
333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.6723333333333,72.2833333333333,62.8886666666667,68.2776666666667,42.2776666666667,33.0613333333333,17.2666666666667,25.83,NA,NA,NA
334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,47.1386666666667,72.7556666666667,89.5556666666667,75.5,49.4443333333333,36.2166666666667,48.328,54.25,62.04,148.42,139.52
335,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,48.2276666666667,113.094333333333,117.5,150.278,70.222,96.0723333333333,36.3166666666667,47.88,124.6325,214.98,178.55
338,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,121.283333333333,143.566333333333,176.889,111.205666666667,184.111,109.296,158.139,106.4,79.1175,104.57,321.5
342,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,441.727666666667,476.978,339.055666666667,447.555666666667,394.666333333333,377.855333333333,410.783,220.38,374.7175,431.55,498.33
